,overall_qual,1st_flr_sf,2nd_flr_sf,total_bsmt_sf,gr_liv_area,garage_area,garage_cars,year_built,year_remod/add,full_bath,lot_area
478,5,1012,0,816,1012,429,1,1920,1950,1,9800
479,6,1316,0,1316,1316,397,2,2005,2006,2,10237
480,4,845,0,0,845,290,1,1957,1957,1,11500
481,7,993,1243,964,2236,642,2,1997,1997,2,13006
482,5,630,0,630,630,0,0,1970,1970,1,1533
483,7,691,862,691,1553,420,2,1996,1996,2,7875
484,8,1940,1254,965,3194,380,2,1934,1998,2,12168
485,6,1136,0,1136,1136,384,1,1965,1965,1,9200
486,6,848,0,848,848,420,2,2004,2004,1,4438
487,6,1211,0,1211,1211,461,2,1976,1976,2,13068
488,6,1256,0,1145,1256,641,2,2008,2008,1,4217
489,6,861,424,861,1285,506,2,1926,1950,1,7000
490,5,1378,994,994,2372,432,1,1892,1965,2,6600
491,7,1498,0,1498,1498,675,2,2006,2006,2,8990
492,6,1100,1164,1100,2264,408,1,1918,1995,2,7755
493,7,1107,983,1107,2090,484,2,1973,1973,2,10382
494,9,1182,1142,1175,2324,736,3,2005,2006,3,11924
495,7,1414,0,1375,1414,398,2,2004,2004,2,3072
496,5,1212,180,1212,1392,0,0,1915,1950,1,9900
497,5,884,464,884,1348,216,1,1925,1997,1,6000
498,5,1168,800,784,1968,530,2,1969,1969,2,11075
499,4,1149,0,1014,1149,544,1,1960,1971,1,10682
500,6,742,742,742,1484,390,2,2005,2005,2,12589
501,8,1487,1012,392,2499,527,2,1976,1976,2,9600
502,7,1119,0,835,1119,437,2,2004,2005,2,16219
503,6,1199,0,1199,1199,530,2,1993,1993,2,7892
504,6,1846,0,1836,1846,495,2,2006,2006,2,13377
505,5,864,0,864,864,336,1,1978,2005,1,7000
506,8,1549,1178,853,2727,440,2,1932,1994,2,10570
507,6,952,0,952,952,192,1,1916,1950,1,8854
508,5,616,688,264,1304,336,1,1977,1977,1,2665
509,8,1088,871,1088,1959,1025,3,2006,2006,2,9000
510,3,1052,558,972,1610,480,1,1938,1990,2,18600
511,5,765,600,765,1365,440,2,1973,1973,1,2160
512,5,720,588,720,1308,484,2,1969,1969,1,9743
513,5,925,0,912,925,576,2,1965,2005,1,8125
514,2,407,0,407,407,297,1,1946,1950,1,7311
515,6,1580,0,1244,1580,440,2,1959,1959,1,10032
516,5,1292,0,1292,1292,520,2,1964,1964,1,10500
517,7,854,840,569,1694,434,1,1997,1998,2,8314
518,8,1630,0,1622,1630,860,3,2008,2008,2,10226
519,8,1301,1116,1288,2417,462,2,1991,1992,2,16059
520,5,995,0,960,995,264,1,1925,1999,1,6120
521,5,1067,472,927,1539,576,2,1936,1950,1,6120
522,5,1150,686,686,1836,288,1,1900,1950,2,56600
523,5,980,0,980,980,384,1,1967,1967,2,9750
524,7,1455,0,1415,1455,644,3,2003,2003,2,3940
525,9,1943,713,1934,2656,1040,3,2007,2007,2,13641
526,8,1036,0,1036,1036,484,2,1980,1980,1,3640
527,5,1664,0,0,1664,0,0,1965,1965,2,9825
528,5,842,630,702,1472,250,1,1925,1994,1,9600
529,2,599,0,416,599,0,0,1940,1950,1,5400
530,7,836,0,836,836,345,1,1976,1976,1,2104
531,6,698,1048,698,1746,350,3,2006,2007,2,9729
532,6,1103,0,1103,1103,462,2,1974,1974,2,10000
533,7,1222,0,1222,1222,615,2,2010,2010,2,7360
534,5,1052,720,720,2192,240,1,1939,1997,2,8400
535,6,780,595,780,1375,544,1,1937,1950,1,9000
536,4,546,546,546,1092,0,0,1970,1970,1,1526
537,7,1218,943,832,2161,506,2,1950,2000,2,12392
538,5,1022,0,1022,1022,747,2,1994,1994,1,14217
539,6,1337,0,1337,1337,511,2,2001,2001,2,4113
540,6,1052,0,1010,1052,440,2,1971,1971,1,8816
541,4,864,0,864,864,280,1,1970,1970,1,9353
542,4,630,0,630,630,286,1,1970,1970,1,1477
543,6,936,0,920,936,460,2,1996,1997,0,6710
544,7,1175,807,807,1982,575,2,1989,1989,2,11287
545,8,1136,1332,1136,2468,872,3,2004,2004,2,12099
546,7,1108,989,1108,2097,583,2,1998,1998,2,9750
547,5,882,0,720,882,240,1,1952,1952,1,11556
548,6,483,504,483,987,288,1,1972,1972,1,1680
549,8,1582,0,1582,1582,905,3,2007,2007,2,12704
550,5,903,378,756,1281,379,2,1926,1950,1,6120
551,8,1182,1017,1173,2199,516,2,1997,1997,2,9660
552,5,808,0,0,808,164,1,1945,1995,1,6120
553,5,1160,966,1013,2126,538,2,1967,1967,2,28698
554,7,1428,0,1417,1428,554,2,2008,2008,2,12274
555,5,840,0,672,840,0,0,1930,1950,1,4388
556,5,1038,0,1038,1038,264,1,1984,1984,2,3869
557,6,804,744,804,1548,440,2,1976,1976,2,2308
558,6,734,384,648,1118,440,2,1920,1950,1,4400
559,6,1104,697,697,1801,365,2,1930,1959,1,14210
560,5,950,0,950,950,280,1,1971,1971,1,9758
561,7,625,625,625,1250,625,2,2006,2007,2,4017
562,6,1200,0,1200,1200,521,2,1995,1995,2,11249
563,5,1141,0,1141,1141,568,1,1967,1967,1,9600
564,6,1069,0,1069,1069,440,2,1977,1977,2,4043
565,5,938,0,938,938,308,1,1975,1980,1,9200
566,5,1114,0,1114,1114,0,0,2004,2004,1,13072
567,6,1726,0,1726,1726,561,2,2008,2008,2,3830
568,6,832,0,832,832,528,2,1954,1954,1,7227
569,7,628,600,600,1228,215,1,1918,1990,1,7155
570,5,1344,0,1344,1344,686,2,1999,1999,2,11875
571,5,925,0,925,925,252,1,1956,2003,1,8540
572,4,876,0,876,876,320,1,1959,1959,1,6410
573,5,965,0,870,965,580,2,1996,1996,1,11105
574,6,1570,0,1395,1570,441,2,1958,1958,1,13200
575,6,919,0,894,919,195,1,1926,1998,1,7000
576,6,1258,0,1258,1258,528,2,1971,2004,2,11040
577,6,848,0,848,848,420,2,2004,2004,1,4426
578,5,1567,1087,671,2654,638,2,1920,1996,3,16779
579,5,682,548,440,1230,440,2,1910,1981,1,10440
580,5,1254,182,892,1436,1488,4,1922,1950,1,10836
581,5,1360,0,1104,1360,336,1,1969,1979,1,13384
582,7,1700,512,1700,2212,773,3,2005,2006,2,13751
583,5,1022,0,1022,1022,184,1,1922,1950,1,4480
584,6,1374,0,1130,1374,286,1,1964,1964,1,11382
585,6,1261,0,1261,1261,433,2,1958,1958,1,9120
586,5,1155,0,1109,1155,576,2,1961,1995,1,11782
587,4,1120,0,1040,1120,544,2,1961,1961,1,6970
588,8,1838,0,1838,1838,524,2,2007,2008,2,11422
589,7,1492,0,1492,1492,596,2,2002,2002,2,8000
590,5,810,496,240,1306,472,2,1910,2003,1,15660
591,5,796,0,796,796,0,0,1971,1971,1,6723
592,5,1144,0,1144,1144,456,2,1961,1961,1,7875
593,5,988,517,883,1505,240,1,1940,1982,1,9144
594,9,1838,0,1838,1838,765,3,2006,2006,2,14601
595,7,1285,782,752,2067,784,2,1974,1974,2,12732
596,5,884,656,572,1540,0,0,1905,2005,1,6000
597,5,816,0,816,816,816,2,1982,2003,1,6600
598,5,816,0,816,816,516,2,1963,1963,1,8472
599,9,1816,0,1790,1816,730,3,2006,2007,2,12469
600,5,1014,412,966,1426,230,1,1930,1992,1,6240
601,7,944,926,944,1870,608,2,2001,2001,2,11250
602,5,894,0,864,894,440,2,1974,1974,1,11800
603,6,790,784,796,1574,566,2,1976,1976,2,18800
604,7,1500,0,1356,1500,648,3,2006,2006,2,4045
605,5,789,0,768,789,200,1,1926,1950,1,10594
606,5,960,0,960,960,576,2,1955,1955,1,6000
607,4,882,0,882,882,525,2,1970,1970,1,8400
608,6,1212,0,1212,1212,460,2,2009,2009,2,10420
609,5,832,436,832,1268,250,1,1938,1950,1,6300
610,5,585,468,585,1053,0,0,1938,2007,1,12180
611,8,1466,1362,1466,2828,1052,3,2006,2007,3,9965
612,7,1418,0,1418,1418,558,2,1997,1998,2,8696
613,5,1226,0,0,1226,400,2,1951,1951,1,13108
614,6,819,501,768,1320,576,2,1948,1950,2,8064
615,2,800,0,264,800,0,0,1936,1950,1,6120
616,7,1340,0,1340,1340,396,2,2007,2007,2,8899
617,8,1090,1124,1090,2214,646,3,1999,1999,2,10566
618,4,1152,0,0,1152,0,0,1955,1955,2,6882
619,7,774,656,384,1430,400,2,2000,2000,2,7750
620,7,1232,0,1232,1232,632,2,2007,2007,2,7314
621,5,1535,0,0,1535,410,2,1979,1979,2,7018
622,5,1136,768,1208,1904,240,1,1950,1982,1,7200
623,5,890,0,890,890,308,1,1968,1968,1,8450
624,6,728,728,728,1456,308,1,1915,2005,1,6000
625,5,2020,0,0,2020,630,2,1977,1977,2,8400
626,7,738,738,738,1476,552,2,2007,2007,2,8145
627,5,1065,0,1065,1065,461,2,1960,1960,1,8892
628,8,2522,0,2208,2522,564,2,2004,2005,2,7296
629,6,1131,0,1131,1131,0,0,2005,2006,1,13072
630,5,1102,1075,1032,2177,484,2,1950,1991,2,15600
631,6,1699,748,804,2447,336,1,1919,1990,2,9638
632,5,864,0,864,864,338,1,1972,1972,1,15523
633,3,864,0,864,864,200,1,1914,1950,1,8212
634,5,754,640,384,1394,400,2,2006,2007,2,9735
635,6,756,756,756,1512,440,2,2000,2000,2,2980
636,6,970,739,970,1709,380,2,2004,2006,2,2522
637,6,1444,0,1444,1444,473,2,1976,1976,2,10400
638,5,1248,0,1248,1248,286,1,1960,1960,1,10800
639,5,958,581,650,1539,686,2,1904,2002,2,10440
640,9,1620,0,1620,1620,912,3,2007,2008,2,12898
641,5,860,0,840,860,528,2,1982,1982,1,8740
642,6,1468,0,1468,1468,528,2,2005,2005,2,10440
643,8,1571,0,1571,1571,722,3,2007,2007,2,10991
644,6,1082,0,973,1082,480,2,1969,1969,1,8723
645,4,641,0,641,641,272,1,1925,1950,1,7030
646,8,1284,885,1284,2169,647,2,2002,2002,2,9375
647,7,696,720,696,1416,484,2,1999,1999,2,2572
648,6,1072,0,547,1072,525,2,2005,2005,1,3675
649,6,892,783,841,1675,502,2,1999,1999,2,24682
650,5,1175,0,1175,1175,484,2,1960,1960,1,7635
651,5,833,0,833,833,326,1,1954,2000,1,5400
652,5,1048,0,993,1048,280,1,1922,1950,1,6380
653,6,1054,0,1054,1054,460,2,1969,1969,1,9750
654,3,720,0,0,720,287,1,1949,1950,1,6627
655,6,774,821,663,1595,528,2,1915,1950,2,7200
656,7,847,1081,847,1928,434,2,2003,2004,2,8200
657,6,972,972,972,1944,324,2,1910,1950,2,10307
658,7,1223,904,1223,2127,525,2,1994,1994,2,10944
659,6,1382,0,1362,1382,884,2,1962,1962,1,19296
660,6,1032,0,1032,1032,564,2,1978,1978,2,10395
661,6,1105,717,1105,1822,515,2,1984,1984,2,23920
662,6,1740,0,1740,1740,512,2,1968,1968,1,11050
663,7,1468,795,795,2263,539,2,1977,1994,2,16659
664,9,1850,898,1850,2748,850,3,2006,2006,2,13418
665,7,1308,568,1308,1876,848,3,2005,2006,2,11003
666,5,1929,532,1140,2461,400,2,1952,2002,2,9724
667,6,960,960,960,1920,480,2,1930,1950,2,7804
668,5,1224,0,1224,1224,576,2,1960,1996,1,20000
669,8,2000,0,2000,2000,888,3,2004,2005,2,10386
670,8,1372,0,1363,1372,588,2,2007,2008,2,8640
671,7,1376,1629,1376,3005,704,3,2004,2005,2,2880
672,7,975,780,975,1755,524,2,1991,2008,2,11949
673,5,1144,594,1024,1738,240,1,1935,1950,2,7010
674,5,970,0,912,970,0,0,1992,1992,1,10441
675,5,1086,0,1086,1086,490,2,1954,2003,1,10200
676,5,1148,568,768,1716,281,1,1949,2008,1,11409
677,4,546,546,546,1092,286,1,1973,1973,1,1974
678,6,940,610,817,1550,318,1,1920,1950,1,21780
679,5,780,0,780,780,352,1,1972,1972,1,7200
680,8,1779,772,1779,2551,925,3,1997,1998,2,12191
681,7,1610,0,1124,1610,515,2,1972,1987,2,11358
682,6,961,683,941,1644,460,2,1999,2000,2,9649
683,8,1574,0,1574,1574,824,3,2006,2006,2,11957
684,6,920,900,864,1820,492,2,1993,1997,2,11613
685,6,930,715,715,1645,441,2,1971,1971,1,9600
686,6,1679,0,1408,1679,575,2,1994,1998,2,8125
687,9,2000,0,1910,2000,722,3,2005,2005,2,18261
688,5,1112,0,1112,1112,390,1,1954,1954,1,9100
689,6,941,896,941,1837,688,2,1997,1998,2,8304
690,3,792,0,792,792,366,1,1958,1958,1,5470
691,5,912,0,912,912,315,1,1966,1966,1,8169
692,7,1530,0,1530,1530,430,2,2005,2005,2,16158
693,6,1012,0,1012,1012,308,1,1920,1950,1,8263
694,7,1453,0,1453,1453,445,2,1986,1986,1,5271
695,6,1177,0,1153,1177,495,2,1984,1984,2,11850
696,7,846,846,846,1692,650,2,2009,2009,2,13159
697,8,1544,814,1524,2358,784,3,2005,2006,2,11643
698,5,864,0,864,864,0,0,1975,1975,1,9350
699,8,1668,0,1657,1668,502,2,2003,2003,2,10635
700,6,848,0,848,848,420,2,2004,2004,1,4438
701,4,1132,0,1132,1132,451,2,2005,2005,1,7024
702,6,964,918,0,1882,612,2,1981,1981,2,8250
703,5,896,0,882,896,730,1,1961,1961,1,11622
704,7,2362,0,2002,2362,546,2,1980,1980,2,12000
705,7,2110,0,2110,2110,522,2,1968,1968,2,11160
706,6,1062,0,1029,1062,539,2,1976,1976,1,11333
707,5,1268,0,1268,1268,244,1,1954,1954,1,7800
708,4,1005,0,1005,1005,672,2,1955,1955,1,10434
709,9,1698,0,1698,1698,730,3,2005,2005,2,11520
710,7,1553,0,1553,1553,588,2,2003,2004,2,8736
711,4,736,716,736,1452,0,0,1920,2008,2,4456
712,5,1216,0,1056,1216,280,1,1951,1951,1,9600
713,5,1096,0,1096,1096,299,1,1969,1969,1,15870
714,5,832,378,672,1210,240,1,1941,2006,1,5000
715,6,1307,1051,907,2358,360,2,1908,1997,3,45600
716,7,1238,1281,1210,2519,628,2,1989,1990,2,26178
717,8,983,756,970,1739,480,2,1999,2000,2,2645
718,6,1661,0,992,1661,377,1,1955,1996,1,9600
719,7,2039,0,929,2039,791,3,1941,1963,1,21299
720,7,1436,0,1436,1436,484,2,2004,2004,2,8450
721,8,1053,939,1053,1992,648,2,2003,2004,2,9375
722,5,985,0,985,985,328,1,1977,1977,2,8385
723,5,630,672,630,1302,264,1,1972,1972,2,1680
724,8,1145,1053,1145,2198,836,3,2000,2000,2,14260
725,5,1392,0,1441,1392,650,3,2002,2002,2,10000
726,7,1411,0,1386,1411,544,2,1977,1977,2,11900
727,5,1043,0,938,1043,273,1,1947,1950,1,9724
728,8,1618,0,1618,1618,880,3,2004,2004,2,16163
729,4,761,380,570,1141,252,1,1900,1950,1,5925
730,8,1314,0,1300,1314,552,2,2009,2009,2,8640
731,6,962,830,936,1792,451,2,2000,2000,2,10261
732,8,1068,1116,1068,2184,570,2,2003,2003,2,12334
733,6,1004,0,975,1004,504,2,1977,1977,1,10530
734,5,1797,0,1617,1797,963,3,1957,1957,1,11765
735,5,796,566,796,1362,480,2,1993,1995,1,14115
736,5,904,595,904,1499,869,3,1946,1950,1,9000
737,6,735,660,723,1395,497,2,1972,1972,1,12936
738,6,1068,0,1059,1068,264,1,1963,2003,1,8414
739,5,1206,0,1206,1206,312,1,1959,1959,1,10725
740,7,1494,0,1494,1494,530,2,2002,2002,2,12803
741,5,1088,780,780,1868,484,2,1976,1976,2,10304
742,5,1526,0,1216,1526,364,1,1957,2002,1,8562
743,5,1060,185,1008,1245,315,1,1920,1962,1,8239
744,6,680,790,680,1470,420,2,1993,1993,2,9765
745,5,2071,0,825,2071,336,1,1956,1956,1,15584
746,7,892,800,878,1692,513,2,1997,1998,2,9337
747,6,1403,1008,1008,2411,570,2,1970,1970,2,8000
748,6,818,406,818,1224,210,1,1926,2004,1,3950
749,8,2028,0,1868,2028,880,3,2005,2006,2,11443
750,8,1696,0,1696,1696,972,3,2008,2008,2,11194
751,5,1226,442,1212,1668,240,1,1948,1950,1,9600
752,6,855,601,855,1456,440,2,1978,1978,2,2280
753,6,1445,0,1127,1445,645,2,1964,1964,1,12095
754,4,1040,0,1064,1040,648,2,1963,1963,1,25286
755,6,672,546,672,1218,264,1,1973,1973,1,2058
756,9,2552,0,2552,2552,932,3,2007,2007,2,13891
757,4,671,378,356,1049,195,1,1910,2000,1,5150
758,5,734,674,734,1408,489,2,2005,2006,2,7023
759,8,1324,0,1324,1324,550,2,2006,2006,2,6240
760,6,926,0,902,926,351,1,1977,1977,1,9750
761,7,1044,1054,1040,2098,621,2,1997,1997,2,9375
762,4,1382,0,1051,1382,459,2,1963,1979,1,11235
763,6,1839,0,1477,1839,416,2,1957,2004,2,14442
764,6,1242,742,1242,1984,360,1,1910,1983,2,8094
765,8,1960,0,1728,1960,714,3,2005,2006,2,13618
766,7,958,670,384,1628,390,2,1996,1997,2,8400
767,7,1190,0,1169,1190,578,2,2005,2005,2,8769
768,8,1482,780,1482,2262,749,3,2003,2003,2,12244
769,6,1190,0,1181,1190,430,2,1993,1993,2,7250
770,7,1127,886,1117,2013,455,2,1996,1997,2,9920
771,7,1472,0,0,1472,484,2,1959,1959,2,11650
772,5,1728,0,1728,1728,352,1,1964,1964,2,10624
773,6,2117,0,1205,2117,550,2,1970,1970,2,12925
774,5,932,442,884,1374,225,1,1938,1950,1,9260
775,5,1625,0,1625,1625,484,2,1965,1965,2,9750
776,7,796,816,796,1612,666,3,2008,2008,2,12018
777,6,958,0,958,958,301,1,1960,1998,1,12772
778,4,997,473,941,1470,548,1,1954,1972,2,8172
779,5,1296,1296,1296,2592,0,0,1923,1950,2,10890
780,6,756,756,756,1512,440,2,2000,2000,2,2117
781,9,1390,1405,1390,2795,660,3,2005,2006,3,15922
782,5,596,596,596,1192,189,1,1920,1950,1,6402
783,5,768,0,768,768,396,1,1972,2003,1,7200
784,4,774,456,747,1230,305,1,1946,1950,1,4712
785,5,1383,0,1383,1383,354,1,1954,1954,1,13284
786,8,1651,0,1643,1651,870,3,2007,2007,2,9178
787,6,516,516,516,1032,462,2,1980,1980,1,1879
788,7,1518,631,1434,2149,670,2,2003,2003,1,12822
789,5,1440,0,1248,1440,480,1,1959,1998,2,9840
790,7,1173,0,1053,1173,528,2,1974,1974,2,10625
791,7,1654,0,1654,1654,900,3,2002,2002,2,8125
792,6,1298,0,1298,1298,403,2,1985,1985,2,11200
793,8,1251,1098,1231,2349,762,3,1993,1993,2,13143
794,5,1675,0,1422,1675,365,1,1959,1959,2,15263
795,8,1295,0,1057,1295,571,2,1978,1998,1,3840
796,8,1020,0,1004,1020,509,2,1988,1988,1,3907
797,7,1502,0,1502,1502,644,2,2009,2009,2,9541
798,7,1604,0,1604,1604,660,2,2006,2006,2,8814
799,7,1085,845,780,1930,481,2,1979,1979,2,11339
800,5,1339,0,1029,1339,294,1,1958,1965,1,7560
801,6,984,0,984,984,308,1,1930,1950,1,7200
802,7,774,656,384,1430,410,2,1999,1999,2,7848
803,4,942,942,707,1884,0,0,1907,1950,1,6449
804,7,1082,1240,1035,2322,617,3,2006,2006,3,12104
805,5,1015,0,768,1015,450,1,1925,1950,1,6120
806,5,949,0,949,949,370,2,1924,2003,1,6000
807,7,728,728,728,1456,390,2,2005,2005,2,10928
808,6,672,644,644,1316,369,1,1926,1950,1,8969
809,5,864,0,864,864,624,2,1958,1958,1,9100
810,5,1144,0,1169,1144,286,1,1956,1956,1,8760
811,8,1305,1189,1290,2494,803,3,1994,1995,2,10236
812,6,672,714,672,1386,440,2,1978,1978,2,11616
813,5,1728,0,1728,1728,0,0,1962,2001,2,13260
814,7,1358,0,1350,1358,484,2,2007,2008,2,7301
815,7,1372,0,1372,1372,529,2,2007,2008,2,8640
816,6,1906,0,1310,1906,576,2,1954,1954,1,17500
817,4,1047,0,641,1047,273,1,1885,1995,1,10800
818,4,960,0,960,960,432,1,1965,1965,1,10921
819,6,698,702,676,1400,465,2,1986,1986,2,10274
820,6,1388,0,1388,1388,522,2,1968,1968,2,12000
821,5,894,0,894,894,384,1,1966,1966,1,7094
822,9,1827,959,1848,2786,636,2,1993,1994,2,11025
823,4,1084,867,938,1951,576,2,1900,1950,2,7745
824,7,684,720,672,1404,462,2,1999,2000,2,2160
825,7,1187,530,1156,1717,400,2,1990,1991,2,13758
826,9,2036,604,2036,2640,792,3,2006,2006,3,13162
827,5,1118,0,1118,1118,264,1,1960,2000,1,11332
828,6,1728,0,1728,1728,574,2,1976,1976,2,12640
829,5,1232,0,1232,1232,490,2,1966,1966,1,9600
830,7,1145,0,1145,1145,397,2,2005,2006,2,3182
831,6,1383,0,1383,1383,292,1,1960,1960,1,11600
832,8,1828,0,1822,1828,523,2,2002,2003,2,12782
833,8,1342,0,1342,1342,550,2,2006,2007,2,6240
834,6,1091,0,1091,1091,344,1,1951,1951,1,7801
835,5,984,0,984,984,384,1,1963,1963,1,9100
836,8,1826,0,1814,1826,758,3,2005,2006,2,11302
837,5,1154,0,864,1154,336,1,1953,2006,1,11556
838,5,971,0,971,971,300,1,1969,1969,1,9920
839,5,1051,0,1051,1051,264,1,1966,1966,1,9759
840,7,1165,896,1165,2061,498,2,1974,1974,2,9600
841,7,764,862,764,1626,474,2,2003,2004,2,2268
842,7,1332,192,1332,1524,586,2,1979,1979,0,23595
843,5,936,0,936,936,384,1,1967,1967,1,9825
844,6,646,662,635,1308,497,2,1997,2006,2,10021
845,6,1295,0,1295,1295,528,2,1968,1968,1,11700
846,7,2207,0,1947,2207,576,2,1970,1989,2,19900
847,7,932,920,900,1852,644,2,2009,2009,2,8640
848,6,516,516,516,1032,452,2,1980,1980,1,1733
849,6,1282,0,995,1282,672,3,1978,1978,2,10385
850,6,1204,0,1204,1204,412,2,1998,1998,2,4500
851,6,1342,0,1372,1342,457,2,1967,1967,2,9790
852,6,864,0,864,864,288,1,1959,1959,1,7332
853,5,943,0,943,943,600,2,1979,1979,1,7032
854,6,1163,511,1163,1674,396,2,1918,1950,2,21780
855,3,840,765,840,1605,379,1,1915,1950,2,5790
856,8,1478,0,1418,1478,495,2,1998,1998,2,7380
857,4,630,0,630,630,286,1,1970,2002,1,1526
858,7,840,828,840,1668,500,2,2003,2003,2,11317
859,5,833,0,833,833,0,0,1985,1985,1,8780
860,9,1944,0,1896,1944,708,3,2003,2004,2,12378
861,7,767,0,723,767,367,1,1998,1998,1,4058
862,5,765,600,765,1365,440,2,1970,1970,1,2368
863,5,1313,0,1313,1313,610,2,1961,1995,1,9350
864,5,1229,0,1094,1229,672,2,1979,1979,0,7040
865,7,840,885,840,1725,550,2,2002,2002,2,8749
866,6,1491,0,1491,1491,571,2,1996,1996,2,7777
867,7,1190,900,1190,2090,577,2,1984,1984,2,5062
868,5,1216,1216,1216,2432,616,2,1985,1986,4,7700
869,5,1582,0,1624,1582,390,2,1964,1964,2,36500
870,7,1530,0,1530,1530,630,3,2004,2004,2,14572
871,8,2046,0,2046,2046,834,3,2008,2008,2,11844
872,7,1390,0,1390,1390,545,2,2003,2003,2,8810
873,6,1084,793,1084,1877,488,2,1974,1974,2,8000
874,6,1104,884,1104,1988,480,2,1966,1999,2,14670
875,5,1211,0,952,1211,322,1,1968,1968,1,8250
876,4,864,0,864,864,528,2,1971,1971,1,9000
877,5,925,0,923,925,390,1,1955,1955,1,8400
